sample;annotation
сосиски по собка;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
кидури;[(0, 6, 'O')]
хлопья в сбоак пакетах;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O'), (15, 22, 'O')]
рауд мду;[(0, 4, 'O'), (5, 8, 'O')]
кбачки столовый в солью тебе;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 17, 'O'), (18, 23, 'O'), (24, 28, 'O')]
мукт по обаки;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 13, 'O')]
Зошане тебе;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
сосиски в перцем;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
творожки на прецем;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 18, 'O')]
йгурт столоывй для тебе всей;[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE'), (15, 18, 'O'), (19, 23, 'O'), (24, 28, 'O')]
зомо;[(0, 4, 'O')]
нане сибеду;[(0, 4, 'O'), (5, 11, 'O')]
салаты из аджике;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
риж для себе;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 12, 'O')]
ммома белуко кимома;[(0, 5, 'O'), (6, 12, 'O'), (13, 19, 'O')]
Фас акция;[(0, 3, 'B-BRAND'), (4, 9, 'O')]
жидкосэь для собак;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
кабачки для тебе смеье;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 16, 'O'), (17, 22, 'O')]
килша виви некфоа;[(0, 5, 'O'), (6, 10, 'O'), (11, 17, 'O')]
вода фие по етбе;[(0, 4, 'B-TYPE'), (5, 8, 'I-TYPE'), (9, 11, 'O'), (12, 16, 'O')]
Килухе сейчас тебе;[(0, 6, 'B-BRAND'), (7, 13, 'O'), (14, 18, 'O')]
уголу;[(0, 5, 'B-TYPE')]
римоне душа кираду;[(0, 6, 'O'), (7, 11, 'O'), (12, 18, 'O')]
Вии рядвм;[(0, 3, 'B-BRAND'), (4, 9, 'O')]
курица батон с тебе шаблыка;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 14, 'O'), (15, 19, 'O'), (20, 27, 'O')]
сосиски рамня из отрубями;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 16, 'O'), (17, 25, 'O')]
каабчки в детей ченсоком;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O'), (16, 24, 'O')]
макароны фермерский с тебе;[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE'), (20, 21, 'O'), (22, 26, 'O')]
шаурма без всей перцем;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O'), (16, 22, 'O')]
макароны с изямом окшек;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O'), (18, 23, 'O')]
крица без банке чесноком;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O'), (16, 24, 'O')]
сол в пакгтах;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 13, 'O')]
наои кириду фабрие;[(0, 4, 'O'), (5, 11, 'O'), (12, 18, 'O')]
твоыожки;[(0, 8, 'B-TYPE')]
соль по отрубяги тебе;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 16, 'O'), (17, 21, 'O')]
пюре с всей;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 11, 'O')]
еофе в перцем;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O')]
сосиыки для торубями кошик;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 20, 'O'), (21, 26, 'O')]
гречка из шашлыка вкусом;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O'), (18, 24, 'O')]
кабмчки на всей;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
кори мки налулу;[(0, 4, 'O'), (5, 8, 'O'), (9, 15, 'O')]
кабачки по шашлыка;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
кбаачки на пакетах;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
торзао беа ашхе;[(0, 6, 'O'), (7, 10, 'O'), (11, 15, 'O')]
хлопся на перцем;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
йогрут в отрубями тебе;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 17, 'O'), (18, 22, 'O')]
лум шли зок;[(0, 3, 'O'), (4, 7, 'O'), (8, 11, 'O')]
Вивито сейчас чесноком;[(0, 6, 'B-BRAND'), (7, 13, 'O'), (14, 22, 'O')]
гречка нарезка из кошк;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 17, 'O'), (18, 22, 'O')]
перлвка с собак;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O')]
некофа;[(0, 6, 'O')]
Рисахе сейчас;[(0, 6, 'B-BRAND'), (7, 13, 'O')]
кикото;[(0, 6, 'O')]
дай на пакетах;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O')]
хефа кдиутф;[(0, 4, 'O'), (5, 11, 'O')]
Лура теге;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
шаурма в пакеатх;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]
жидкость с семье;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]
омкири таране;[(0, 6, 'O'), (7, 13, 'O')]
молуфа кикизо;[(0, 6, 'O'), (7, 13, 'O')]
Лукиду хоиый;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
сыр детсй с солью;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 11, 'O'), (12, 17, 'O')]
муйа для сльщю;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
умка стоовый по изюмом;[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 15, 'O'), (16, 22, 'O')]
вихебе рирави;[(0, 6, 'O'), (7, 13, 'O')]
токиша;[(0, 6, 'O')]
йогурт из завтрак;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
лапша в детей;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 13, 'O')]
макарокы;[(0, 8, 'B-TYPE')]
курица для собак;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O')]
назо рилира отлу;[(0, 4, 'O'), (5, 11, 'O'), (12, 16, 'O')]
расаки зоао кхеи;[(0, 6, 'O'), (7, 11, 'O'), (12, 16, 'O')]
булочки нарезк из изюмом;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 17, 'O'), (18, 24, 'O')]
жидкость по глютена собаки;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 19, 'O'), (20, 26, 'O')]
Хекиша акция аджике;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 19, 'O')]
макароны столовый без изюмом собаки;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 21, 'O'), (22, 28, 'O'), (29, 35, 'O')]
колбаса из банке;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
йогурт по тебы;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 14, 'O')]
вимв фако маране;[(0, 4, 'O'), (5, 9, 'O'), (10, 16, 'O')]
вода рамен с солью;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 12, 'O'), (13, 18, 'O')]
чцй с тебе;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 10, 'O')]
курица по пакетах;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
Тара нтвый адже;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 15, 'O')]
уголь без изюо;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 14, 'O')]
взио некори;[(0, 4, 'O'), (5, 11, 'O')]
Малу новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
хлопья по перцем тебе;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O'), (17, 21, 'O')]
сосиски столовый для алютена;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 20, 'O'), (21, 28, 'O')]
кетуп из собак;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 14, 'O')]
кфе на отрубями аджике;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 15, 'O'), (16, 22, 'O')]
помидор для завтрак;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]
Фазо новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
фатафа кихе;[(0, 6, 'O'), (7, 11, 'O')]
кетчуп на семье глютела;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O'), (16, 23, 'O')]
перловка без детей;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
чая на соабки;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
сако;[(0, 4, 'O')]
булчки без изюмом;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
поимдор с автрак адике;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O'), (17, 22, 'O')]
уголь на изюмом;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
кжтофа луфако рилу;[(0, 6, 'O'), (7, 13, 'O'), (14, 18, 'O')]
йогурт с тебе собаки;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 13, 'O'), (14, 20, 'O')]
сосски без всей банке;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O'), (16, 21, 'O')]
риг из глютена глютена;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O'), (15, 22, 'O')]
Ненема сейчас;[(0, 6, 'B-BRAND'), (7, 13, 'O')]
колбаса по пакетах;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
Шаможи новый;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
рис фермерский для детей;[(0, 3, 'B-TYPE'), (4, 14, 'I-TYPE'), (15, 18, 'O'), (19, 24, 'O')]
йогурт столоывй по детей;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 18, 'O'), (19, 24, 'O')]
фасазо;[(0, 6, 'O')]
курциа филе на банке;[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE'), (12, 14, 'O'), (15, 20, 'O')]
углоь с чесноком чесноком;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 16, 'O'), (17, 25, 'O')]
мука для перцем;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
рара;[(0, 4, 'O')]
сксиски для солью;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
пюре для пааетах;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 16, 'O')]
жидкосль по чесноком;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 20, 'O')]
уголь без всей изюмо;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 14, 'O'), (15, 20, 'O')]
блуочки бердо по аджике;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 16, 'O'), (17, 23, 'O')]
кетчуп батон с солфю банке;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 14, 'O'), (15, 20, 'O'), (21, 26, 'O')]
твэрожки без собак;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
Кифа тебе семье;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 15, 'O')]
кабачки батон;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
жидкость нарезка для изюмом;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 20, 'O'), (21, 27, 'O')]
кисери небена;[(0, 6, 'O'), (7, 13, 'O')]
хлопья фермерский на глютеса;[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE'), (18, 20, 'O'), (21, 28, 'O')]
Хехе рядом;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
булочки сапгетти в чесоком;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 18, 'O'), (19, 26, 'O')]
сосиски без вкуом;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
йогурт из шашлыка;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
кифазо;[(0, 6, 'O')]
Салу тебе;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
бузоне ридщ;[(0, 6, 'O'), (7, 11, 'O')]
садуто рии;[(0, 6, 'O'), (7, 10, 'O')]
салты на пакетах;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 16, 'O')]
сыр фибе на чесноком;[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE'), (9, 11, 'O'), (12, 20, 'O')]
кофе в чедноком собаки;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 15, 'O'), (16, 22, 'O')]
хлопья в изюмом;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 15, 'O')]
рис с пакеках собак;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 13, 'O'), (14, 19, 'O')]
перловка фермерский на соуью;[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE'), (20, 22, 'O'), (23, 28, 'O')]
вжда в етей перцем;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 11, 'O'), (12, 18, 'O')]
воад с отрубми;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
Тобелу акция семке;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 18, 'O')]
печенье с банке собак;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O'), (16, 21, 'O')]
сорау;[(0, 5, 'O')]
курица с чесноком отрубями;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 17, 'O'), (18, 26, 'O')]
сыр рамен без квусом;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 13, 'O'), (14, 20, 'O')]
сяр в сокаки;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 12, 'O')]
помидор раме в отрубями;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE'), (13, 14, 'O'), (15, 23, 'O')]
бери маашра;[(0, 4, 'O'), (5, 11, 'O')]
перловка в тебе;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 15, 'O')]
слааты с банке;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
саневи;[(0, 6, 'O')]
вода с чесноком;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 15, 'O')]
Тахе тебе;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
лапша спагетти с тебе;[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE'), (15, 16, 'O'), (17, 21, 'O')]
накомо дусату;[(0, 6, 'O'), (7, 13, 'O')]
салаты для пактах;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
лапша из глютена;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 16, 'O')]
мозори мота;[(0, 6, 'O'), (7, 11, 'O')]
кеуп из перцем глютена;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O'), (15, 22, 'O')]
Лири рядом;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
хешри;[(0, 5, 'O')]
колбаса на семье шашлыка;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O'), (17, 24, 'O')]
печенье грудка в лгютена вкустм;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 16, 'O'), (17, 24, 'O'), (25, 31, 'O')]
пюре из кошек;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 13, 'O')]
Кома сейчас солью;[(0, 4, 'B-BRAND'), (5, 11, 'O'), (12, 17, 'O')]
творожи из семье;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
булочки для отрубями;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 20, 'O')]
малули визо млои;[(0, 6, 'O'), (7, 11, 'O'), (12, 16, 'O')]
греока с тебе;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 13, 'O')]
соль в детюй;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
сафато садуко;[(0, 6, 'O'), (7, 13, 'O')]
сосиски столовй на сбаки кошек;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 18, 'O'), (19, 24, 'O'), (25, 30, 'O')]
сыр без шашлыка изюмом;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 15, 'O'), (16, 22, 'O')]
печенье в дтеей;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O')]
уголь бедро по всей;[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE'), (12, 14, 'O'), (15, 19, 'O')]
бето;[(0, 4, 'O')]
шави;[(0, 4, 'O')]
хлпоья на перцем;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
шаурма грудка из бтре;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 16, 'O'), (17, 21, 'O')]
рис в тефе;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 10, 'O')]
твоощжки филе без собак;[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE'), (14, 17, 'O'), (18, 23, 'O')]
салаты бедро из заврак;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 15, 'O'), (16, 22, 'O')]
хоопья в бакне;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
шакира хешаша;[(0, 6, 'O'), (7, 13, 'O')]
уголь в осбак;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 13, 'O')]
мука рмен по тее;[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE'), (10, 12, 'O'), (13, 16, 'O')]
тата;[(0, 4, 'O')]
фак;[(0, 3, 'O')]
грхчка армен;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
намома вамомо;[(0, 6, 'O'), (7, 13, 'O')]
кабачки на банке;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
гречка нарезка для вкусом;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 18, 'O'), (19, 25, 'O')]
греча для кошек;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O')]
коком;[(0, 5, 'O')]
ектчуп в есмеь;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
колбаса из собаки;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
кхоене;[(0, 6, 'O')]
чай фермерский;[(0, 3, 'B-TYPE'), (4, 14, 'I-TYPE')]
макароны для фсе;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 16, 'O')]
жидкоть в сей;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 13, 'O')]
грхрка без чеснком;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 18, 'O')]
нетато незойи шалуна;[(0, 6, 'O'), (7, 13, 'O'), (14, 20, 'O')]
рамама нен;[(0, 6, 'O'), (7, 10, 'O')]
есако эамо хеша;[(0, 5, 'O'), (6, 10, 'O'), (11, 15, 'O')]
салты без тебе шашщыка;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 14, 'O'), (15, 22, 'O')]
помидр из банке;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
Мазо новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
налаты;[(0, 6, 'B-TYPE')]
твороки без чеснком;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]
булоки спаегтти;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
съль в воусом;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O')]
вода из пакетах аджике;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O'), (16, 22, 'O')]
жидкость без завтеак;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
сосиски в перцем чесноком;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O'), (17, 25, 'O')]
сыр с чесноком;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 14, 'O')]
хера хебебе;[(0, 4, 'O'), (5, 11, 'O')]
перлова в аджике;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
булочки для семье;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
мука без банке;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
кбласа нарезка на детйе;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 17, 'O'), (18, 23, 'O')]
пюде для есмье;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
жакраоны на вкусом аджике;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 18, 'O'), (19, 25, 'O')]
дуато мафлма;[(0, 5, 'O'), (6, 12, 'O')]
йогурт на кошек;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
лчта нера;[(0, 4, 'O'), (5, 9, 'O')]
маьи лукё;[(0, 4, 'O'), (5, 9, 'O')]
перлока;[(0, 7, 'B-TYPE')]
мгль в банке;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
хлпья с семье;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 13, 'O')]
аса виеб мчри;[(0, 3, 'O'), (4, 8, 'O'), (9, 13, 'O')]
талаты детский по сольт;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 17, 'O'), (18, 23, 'O')]
перловка в тбее вкусом;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 15, 'O'), (16, 22, 'O')]
тане;[(0, 4, 'O')]
шуарма в всей;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 13, 'O')]
Хезо рядом завтрак;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 18, 'O')]
вода в глютена;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
булочки батон по завтрак;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 16, 'O'), (17, 24, 'O')]
гречша по тебе;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 14, 'O')]
хее екоша;[(0, 3, 'O'), (4, 9, 'O')]
шаурма без пакттах банке;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 18, 'O'), (19, 24, 'O')]
Тора щеб;[(0, 4, 'B-BRAND'), (5, 8, 'O')]
оис с шашлыка перцме;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 13, 'O'), (14, 20, 'O')]
рихи танета;[(0, 4, 'O'), (5, 11, 'O')]
марако;[(0, 6, 'O')]
лапа без аджкие;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
жидкость без пакетах;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
кабачки с пакетах;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
чшй грудка;[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE')]
сосиси с семье;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
дузо;[(0, 4, 'O')]
тоса;[(0, 4, 'O')]
урциа из собак кшоек;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 14, 'O'), (15, 20, 'O')]
Бкко сейчас;[(0, 4, 'B-BRAND'), (5, 11, 'O')]
лилуви танана;[(0, 6, 'O'), (7, 13, 'O')]
ргечка грудка по деэей;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 16, 'O'), (17, 22, 'O')]
боучки ато;[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]
куица из всей шашлыка;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 13, 'O'), (14, 21, 'O')]
мука для детей;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
помидор без перем;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
соль с глтюена;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
дфа;[(0, 3, 'O')]
Мома нвый пакетах;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 17, 'O')]
лапша с тебе;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 12, 'O')]
кфе;[(0, 3, 'B-TYPE')]
курица без кошек;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O')]
творожки из собак чесноком;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 17, 'O'), (18, 26, 'O')]
лупша трудка с шашлыка;[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE'), (13, 14, 'O'), (15, 22, 'O')]
курица без отрубтми;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O')]
Шазо тебе азвтрак;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 17, 'O')]
сыр нарезка для завтрак детей;[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE'), (12, 15, 'O'), (16, 23, 'O'), (24, 29, 'O')]
кетчуп рамен из завтрал;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 15, 'O'), (16, 23, 'O')]
жидкосьт для юкусом;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
Виша тебе;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
герчфа;[(0, 6, 'B-TYPE')]
Тотата сейчас;[(0, 6, 'B-BRAND'), (7, 13, 'O')]
рис в изюмом вкусоб;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 12, 'O'), (13, 19, 'O')]
риъ с шашъыка собаки;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 13, 'O'), (14, 20, 'O')]
воде недро на собаки;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 13, 'O'), (14, 20, 'O')]
кабачки без собаы;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
йогурт без всей;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O')]
печенье без отрусями;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 20, 'O')]
Киду рядом завтрек;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 18, 'O')]
хлоьпя зпагетит;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
гречка детскй на адике слоью;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 16, 'O'), (17, 22, 'O'), (23, 28, 'O')]
Ране рядмо;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
сааф;[(0, 4, 'O')]
уголь из всей;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 13, 'O')]
сан шали;[(0, 3, 'O'), (4, 8, 'O')]
пмидор на детей;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
йосурт на шашлыка;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
хера;[(0, 4, 'O')]
